time,open,high,low,close,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volume_strength,volume_strength_ma,price_strength,price_strength_ma,price_volume_strength,price_volume_strength_ma
2025-08-05T12:48:00-05:00,3602.5,3606.47,3596.68,3601.41,0,3602.5,3606.47,3596.68,3601.41,61.650112494522844,65.77432899920002,-8.85103209512665,-6.531873319712658,-10.042138591079274,-4.858423999417479
2025-08-05T12:54:00-05:00,3601.42,3608.7,3601.42,3605.18,1,3601.42,3608.7,3601.42,3605.18,62.99998060522552,61.8150285783744,-8.199059895633441,-6.948540348806764,-7.432017472644559,-9.336893792065608
2025-08-05T13:00:00-05:00,3605.07,3606.07,3598.55,3600.67,0,3605.07,3606.07,3598.55,3600.67,56.82311523205493,55.46648684639237,-11.210234241502713,-9.512352687966281,-18.492998596350528,-19.459570029941545
2025-08-05T13:06:00-05:00,3600.66,3611.9,3599.1,3604.31,0,3600.66,3611.9,3599.1,3604.31,61.3483277223483,56.01579032057857,-10.168059891348898,-10.077005106788228,-11.605231822474783,-18.879213281948314
2025-08-05T13:12:00-05:00,3604.42,3605.11,3592.24,3598.61,0,3604.42,3605.11,3592.24,3598.61,57.47858969692187,53.83693849120183,-12.94620877012238,-12.429893938103245,-20.542047796521647,-24.60813313763005
2025-08-05T13:18:00-05:00,3598.47,3601.4,3594.12,3595.04,0,3598.47,3601.4,3594.12,3595.04,52.32011173772944,49.510418132098984,-14.29041293811562,-14.519254235283519,-26.576336146579333,-31.067825950010175
2025-08-05T13:24:00-05:00,3594.96,3598.02,3582.29,3587.9,0,3594.96,3598.02,3582.29,3587.9,40.09007914715419,39.02432069533668,-16.325240697162073,-16.936110851557903,-37.48683835754719,-41.38293149975221
2025-08-05T13:30:00-05:00,3588,3591.25,3582.16,3584.8,0,3588,3591.25,3582.16,3584.8,33.672586873373696,29.91415634319614,-16.755391689320433,-18.27863618559342,-38.931216567107505,-46.53045818553363
2025-08-05T13:36:00-05:00,3584.82,3586.93,3579.8,3583.49,2,3584.82,3586.93,3579.8,3583.49,32.4845714938009,25.37441374878993,-17.216207522517415,-19.0846120827588,-40.95919747149129,-49.56192073059864
2025-08-05T13:42:00-05:00,3583.48,3583.54,3567.97,3567.97,0,3583.48,3583.54,3567.97,3567.97,11.778785887048056,8.902533066468031,-21.47948493916183,-22.373176230032293,-57.4734395695881,-62.06956494064558
2025-08-05T13:48:00-05:00,3567.91,3579.88,3566.08,3579.88,0,3567.91,3579.88,3566.08,3579.88,23.05371418763398,10.283454639170158,-18.233602300052354,-21.330210205561254,-42.54143300235526,-56.05266336432873
2025-08-05T13:54:00-05:00,3580,3588.57,3579.89,3587.11,0,3580,3588.57,3579.89,3587.11,32.185792554675785,18.648976085142678,-15.766723170548277,-18.79624008176833,-32.001848915597115,-44.47809021387544
2025-08-05T14:00:00-05:00,3587.19,3594.24,3586.24,3591.32,0,3587.19,3594.24,3586.24,3591.32,46.13840821653143,33.8884034917629,-14.11092462188511,-16.152896783397562,-22.368149377563714,-30.997764349704156
2025-08-05T14:06:00-05:00,3591.31,3592.76,3584.26,3587.61,0,3591.31,3592.76,3584.26,3587.61,48.24805694797401,43.538969816437316,-14.988152264614756,-15.363177761481406,-21.947284622728557,-23.6245173361499
2025-08-05T14:12:00-05:00,3587.3,3589.72,3574.62,3582.01,0,3587.3,3589.72,3574.62,3582.01,39.64634104028933,42.36978770632838,-17.051623095695575,-16.39578946714233,-28.362746308841924,-24.515125401943372
2025-08-05T14:18:00-05:00,3582.09,3583.73,3575.24,3575.42,0,3582.09,3583.73,3575.24,3575.42,30.5194447766661,35.318315272838255,-19.120463664150478,-18.3598796872471,-33.931955809495115,-29.0404172296551
2025-08-05T14:24:00-05:00,3575.77,3581.39,3570.98,3578.03,0,3575.77,3581.39,3570.98,3578.03,35.755555850178126,35.74190302689547,-17.613721195101668,-18.17910778055435,-26.772922074350337,-26.17774354793739
2025-08-05T14:30:00-05:00,3578.33,3581.71,3573.44,3577.28,1,3578.33,3581.71,3573.44,3577.28,35.68483031911818,35.79065312125882,-17.496245898987056,-17.98885976604404,-25.388273482307948,-24.066479752417006
2025-08-05T14:36:00-05:00,3577.09,3579.87,3571.11,3571.87,1,3577.09,3579.87,3571.11,3571.87,30.387779540038878,31.90338251116028,-18.962772926458754,-18.932116408600585,-30.16247216384181,-26.777788988973235
2025-08-05T14:42:00-05:00,3572.08,3572.86,3563.97,3566.55,2,3572.08,3572.86,3563.97,3566.55,23.181701713004877,24.799938396447054,-20.531814210889145,-20.481179202904894,-37.27766826454948,-33.47261317939471
2025-08-05T14:48:00-05:00,3566.54,3568.08,3558.03,3564.62,2,3566.54,3568.08,3558.03,3564.62,26.00589095659437,23.55962914948547,-21.525947178308304,-21.88930778262685,-37.630043247149224,-37.07170449472692
2025-08-05T14:54:00-05:00,3564.51,3576.17,3563.25,3569.95,3,3564.51,3576.17,3563.25,3569.95,47.66157476050442,38.932259096486426,-20.442533027700982,-21.693611243908833,-22.473731040309655,-27.781202571242346
2025-08-05T15:00:00-05:00,3570.1,3583.28,3570.1,3578.02,0,3570.1,3583.28,3570.1,3578.02,58.58486755570107,54.365680279572175,-18.1730572896751,-19.85101495744812,-7.079740791079179,-12.12838606849123
2025-08-05T15:06:00-05:00,3577.91,3585.87,3577.91,3582.36,0,3577.91,3585.87,3577.91,3582.36,64.2289185162712,65.83708277446745,-16.51625745782858,-17.671665258648005,4.320775768628785,3.5732340615480673
2025-08-05T15:12:00-05:00,3582.22,3587.55,3581.27,3584.34,0,3582.22,3587.55,3581.27,3584.34,67.4262122735671,73.31880537869625,-15.857182086433165,-16.088727938484826,9.781371603383471,14.714149338851975
2025-08-05T15:18:00-05:00,3584.1,3592.76,3582.53,3590.79,0,3584.1,3592.76,3582.53,3590.79,72.94622273989425,80.26678291882773,-12.493441263187705,-12.867207781327112,22.763716179816157,28.83702333351934
2025-08-05T15:24:00-05:00,3590.58,3597.17,3588.17,3596.26,0,3590.58,3597.17,3588.17,3596.26,78.38576305107458,86.64832624277673,-9.738360011267412,-9.379413359776812,26.73782238728217,37.45207489028287
2025-08-05T15:30:00-05:00,3596.11,3596.11,3590.42,3592.29,0,3596.11,3596.11,3590.42,3592.29,74.14763736092137,85.54536199233026,-11.613203072117564,-9.211929665198685,16.299503779947802,32.68144329410013
2025-08-05T15:36:00-05:00,3592.14,3593.02,3578.31,3581.59,0,3592.14,3593.02,3578.31,3581.59,55.41476173358457,70.2647632870018,-16.40317246239063,-12.807733479610434,-4.877696987416596,13.594392199699875
2025-08-05T15:42:00-05:00,3581.6,3584.52,3577.43,3577.43,0,3581.6,3584.52,3577.43,3577.43,42.64881777129784,52.71771121717905,-17.90317265650536,-15.811077298145294,-15.613583942178147,-4.554487662323901
2025-08-05T15:48:00-05:00,3577.43,3579.06,3574.19,3577.71,1,3577.43,3579.06,3574.19,3577.71,45.22005367240938,45.58028940488121,-18.32864239194005,-17.712407389467387,-15.914744445631788,-14.270767060501878
2025-08-05T15:54:00-05:00,3577.48,3578.66,3573.89,3576.18,1,3577.48,3578.66,3573.89,3576.18,44.33180070013889,41.28815477405491,-19.194799565279105,-19.32662903968458,-18.342338008962354,-21.003552732945636
2025-08-05T16:00:00-05:00,3576.15,3587.91,3574.98,3587.86,0,3576.15,3587.91,3574.98,3587.86,65.50761832300856,54.86103329239239,-14.53720214296022,-16.687577858579875,5.158565089540775,-6.906970646056834
2025-08-05T16:06:00-05:00,3587.85,3589.63,3583.88,3586.81,0,3587.85,3589.63,3583.88,3586.81,66.95029373756395,62.675642898004924,-14.570691535818211,-15.40929431000308,5.391266527888702,0.3225370242038501
2025-08-05T16:12:00-05:00,3586.53,3586.53,3573.6,3582.03,0,3586.53,3586.53,3573.6,3582.03,59.41792963053416,61.1979727768095,-16.85060669435023,-16.403044652219346,-5.079287811215971,-3.480672545960325
