time,open,high,low,close,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volumeStrength,volumeStrengthMa,priceStrength,priceStrengthMa,priceVolumeStrength,priceVolumeStrengthMa
2025-08-14T03:02:00-05:00,4740.21,4743.66,4736.69,4737.27,0,4740.21,4743.66,4736.69,4737.27,25.13580559219878,29.29085555281805,-8.848670757513162,-6.807456016830999,-41.51249278444308,-39.022475668851484
2025-08-14T03:04:00-05:00,4737.22,4742.22,4736.66,4739.32,0,4737.22,4742.22,4736.66,4739.32,29.944934184066337,27.418710144913312,-8.231105062553613,-10.504231864020921,-36.30257837258559,-42.811512558241226
2025-08-14T03:06:00-05:00,4739.27,4740.41,4733.74,4736.42,0,4739.27,4740.41,4733.74,4736.42,30.343439169382698,26.836279177036612,-11.399064577710323,-14.399650561072818,-39.06437041499442,-46.209737943667264
2025-08-14T03:08:00-05:00,4736.42,4738.31,4735.24,4736.62,1,4736.42,4738.31,4735.24,4736.62,37.623170071428525,32.11097853850915,-10.07151143201662,-14.927285907048738,-32.57845534321775,-42.37751598208781
2025-08-14T03:10:00-05:00,4736.2,4742.5,4735.3,4741.19,0,4736.2,4742.5,4735.3,4741.19,52.06099511930945,45.44767230440961,-4.666073225873518,-10.78764386872678,-16.91554047191059,-28.335793870058954
2025-08-14T03:12:00-05:00,4741.18,4743.97,4735.49,4738.22,0,4741.18,4743.97,4735.49,4738.22,46.4897643333052,47.92058551139358,-6.151053145930039,-9.447144066176257,-20.775865138842992,-23.792329168529474
2025-08-14T03:14:00-05:00,4737.83,4742.7,4735.17,4742.67,0,4737.83,4742.7,4735.17,4742.67,51.37649747551876,52.703085715134144,-0.6452003979454801,-4.387118499850423,-10.548470062356424,-13.6909650402582
2025-08-14T03:16:00-05:00,4742.59,4742.59,4732.43,4734.91,0,4742.59,4742.59,4732.43,4734.91,43.04570698301684,48.70219529478807,-8.757976580276264,-7.630296340472302,-21.87205348935431,-17.015459702892112
2025-08-14T03:18:00-05:00,4734.7,4740.79,4734.7,4736.36,0,4734.7,4740.79,4734.7,4736.36,45.7171710204923,48.46486785485573,-6.757353026856059,-7.52513035827688,-18.05138823037036,-15.871948454139517
2025-08-14T03:20:00-05:00,4736.28,4736.28,4733.28,4733.34,0,4736.28,4736.28,4733.28,4733.34,38.826967223546404,42.99281677889187,-9.55179059761107,-9.42200921949481,-25.281153515162163,-20.84356521571043
2025-08-14T03:22:00-05:00,4733.34,4733.53,4729.03,4732.76,2,4733.34,4733.53,4729.03,4732.76,39.47870322107429,40.62211344749857,-11.630585948400356,-11.751258378930896,-27.423214168178518,-24.997224172760255
2025-08-14T03:24:00-05:00,4732.2,4737.19,4730,4736.78,0,4732.2,4737.19,4730,4736.78,52.66704492159363,48.960617383779486,-8.180711998332832,-10.243175017860006,-14.330169388474921,-17.59349809769538
2025-08-14T03:26:00-05:00,4737.15,4741.82,4737.11,4738.87,0,4737.15,4741.82,4737.11,4738.87,59.03857197621947,57.47228403139851,-3.5263624018427286,-6.023067925649791,-4.517414279705025,-7.040811592368637
2025-08-14T03:28:00-05:00,4739.03,4742.61,4735.78,4737.38,0,4739.03,4742.61,4735.78,4737.38,56.73698506988786,59.71996441072167,-4.455146847358574,-4.6009705095827735,-6.783783053772583,-3.8168059645609573
2025-08-14T03:30:00-05:00,4737.38,4743.08,4734.55,4740.13,0,4737.38,4743.08,4734.55,4740.13,61.24451177540577,63.844486353943154,-2.918625441366789,-2.75812564011097,-2.045034173554112,0.9235008892264385
2025-08-14T03:32:00-05:00,4740.12,4744.68,4738.76,4743.36,0,4740.12,4744.68,4738.76,4743.36,69.15313333098331,71.20071740114182,1.004290130208279,0.9448168555963523,6.880696536580987,9.273558605962052
2025-08-14T03:34:00-05:00,4743.14,4744.05,4733.31,4735.37,0,4743.14,4744.05,4733.31,4735.37,50.191165027963734,60.38462121210409,-9.599586949368344,-5.139334161271277,-17.127214518780946,-4.8163547493109
